QID90_1,QID90_2,QID90_3,Q22_1,Q92_1,Q92_2,Q92_3,Q100_1,Q100_2,Q61,Q20,Age,Gender,Household_size,Q28,bed,empa,Q92_2r,maskePo
4,4,3,4,2,3,5,2,3,1,1,26.00,2,1.00,Nudeln,1.00,3.67,3.00,2.50
4,4,4,2,3,2,5,4,4,2,1,35.00,1,2.00,Spaghetti,2.00,4.00,4.00,3.50
2,4,3,2,3,3,5,2,3,2,1,28.00,2,4.00,Nudeln,2.00,3.00,3.00,3.00
4,3,4,5,5,1,5,4,5,1,1,38.00,1,1.00,Hähnchen,0.00,3.67,5.00,5.00
1,1,1,5,5,1,5,5,4,1,1,55.00,1,1.00,Gemüse,0.00,1.00,5.00,5.00
3,3,3,5,5,1,5,4,4,1,1,54.00,2,2.00,Griechisches Hackfleisch,0.00,3.00,5.00,5.00
2,1,2,3,4,1,5,2,3,2,1,27.00,1,3.00,Linsensuppe,1.00,1.67,5.00,4.50
4,3,4,4,3,3,5,3,3,1,1,56.00,1,4.00,Brot,1.00,3.67,3.00,3.00
4,2,3,3,4,1,5,3,3,2,1,25.00,1,3.00,Chilli,0.00,3.00,5.00,4.50
5,5,5,5,5,1,5,3,3,1,1,50.00,2,5.00,Brotzeit,2.00,5.00,5.00,5.00
5,5,5,5,5,1,5,4,4,1,1,56.00,2,2.00,Kartoffeln Tomaten Würstchen Gurken,2.00,5.00,5.00,5.00
4,4,4,5,4,1,5,3,4,2,1,21.00,2,3.00,Pommes,0.00,4.00,5.00,4.50
4,3,3,5,4,2,5,2,3,2,1,28.00,1,4.00,Nudeln,1.00,3.33,4.00,4.00
4,4,4,4,4,2,5,2,3,1,1,26.00,2,2.00,Auflauf,2.00,4.00,4.00,4.00
2,3,3,5,5,1,5,5,5,1,1,50.00,2,2.00,Kartoffelpuffer,0.00,2.67,5.00,5.00
1,1,1,3,3,3,5,4,3,2,1,28.00,2,2.00,Sushi,0.00,1.00,3.00,3.00
1,1,1,3,4,2,5,1,4,2,1,37.00,1,2.00,Pasta,0.00,1.00,4.00,4.00
3,3,3,3,3,3,5,3,3,2,1,33.00,2,3.00,Lasagne,1.00,3.00,3.00,3.00
2,2,2,3,2,4,5,2,3,2,1,61.00,2,2.00,sandwich mit salat,1.00,2.00,2.00,2.00
2,1,1,3,4,3,5,2,3,2,1,25.00,1,2.00,Nudeln,0.00,1.33,3.00,3.50
1,1,1,5,5,1,5,2,2,2,1,25.00,1,2.00,Döner,1.00,1.00,5.00,5.00
5,5,5,5,5,1,5,4,3,1,1,43.00,2,2.00,Nudeln,2.00,5.00,5.00,5.00
1,4,2,2,1,2,5,2,3,2,1,29.00,1,3.00,Nudeln,0.00,2.33,4.00,2.50
2,2,1,2,3,1,5,2,3,2,1,39.00,1,3.00,Grillsleisch,1.00,1.67,5.00,4.00
4,4,3,4,5,5,5,3,4,2,1,30.00,1,3.00,Gebratene Nudeln,2.00,3.67,1.00,3.00
3,3,3,5,5,1,5,4,4,1,1,53.00,1,3.00,Gyros,2.00,3.00,5.00,5.00
1,1,1,5,5,1,5,5,5,2,1,33.00,2,2.00,Spaghetti,0.00,1.00,5.00,5.00
3,3,3,3,1,2,5,2,3,2,1,58.00,2,1.00,brot. käse. kuchen,2.00,3.00,4.00,2.50
3,3,3,1,2,5,5,2,3,1,1,37.00,1,3.00,Gestern gab es Chili Con Carne zum Mittag.,2.00,3.00,1.00,1.50
1,1,1,4,4,4,5,3,3,2,1,29.00,1,1.00,Nudeln,1.00,1.00,2.00,3.00
1,1,1,5,3,1,5,2,3,2,1,31.00,2,3.00,Brot mit Grünkernaufstrich,1.00,1.00,5.00,4.00
1,1,1,4,5,1,5,2,4,2,1,35.00,1,3.00,Reis,0.00,1.00,5.00,5.00
5,4,3,3,4,1,5,3,3,2,1,20.00,2,1.00,Nudels mit Schmelzkäse und Erbsen und Möhren aus dem Glas,2.00,4.00,5.00,4.50
5,5,5,4,3,3,5,2,3,2,1,25.00,2,2.00,Süßkartoffel,2.00,5.00,3.00,3.00
5,5,5,4,5,4,5,2,3,2,1,27.00,2,2.00,Reis und Geschnetzeltes,2.00,5.00,2.00,3.50
1,2,1,3,4,2,5,3,3,1,1,28.00,1,2.00,Obst,0.00,1.33,4.00,4.00
1,1,1,1,1,5,5,2,2,2,1,28.00,1,2.00,Hühnchen,0.00,1.00,1.00,1.00
